No.,店舗名,電話番号,住所,定休日,ジャンル,座席・設備,営業時間,URL
1,鳥しき(とりしき),03-3440-7656,東京都品川区上大崎２-１４-１２,毎週月曜日祝日,カフェ,17席（カウンターのみ）,[火~金・土・日]18:00〜23:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100000005481/
2,和創作太(わそうさくた),03-3779-0002,東京都品川区上大崎２-２６-５メグロードビルB１F,毎週日曜日,カフェ,16席（テーブル3つ）,[月~金]18:00〜01:00[土]17:00〜01:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100000001247/
3,ランテルナ・マジカ(TRATTORIADELLALanternaMagica),03-6408-1488,東京都品川区上大崎２-９-２６T＆HMemory１F,毎週日曜日,カフェ,46席（（テーブル４６席））,[月~金・土]17:30〜23:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100000183446/
4,そま莉(そまり),03-3493-2051,東京都目黒区目黒１-４-８東レクビル２F,毎週日曜日祝日,カフェ,30席,[月~金・土]18:00〜23:00LO22:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100000374451/
5,ラメゾンダミ(Lamaisondami),050-5303-6672,東京都品川区上大崎３-４-９セイワビル１０２,毎年1月1日毎年1月2日毎年1月3日毎年12月31日,カフェ,40席,[月~金・祝前]ディナー:18:00〜23:00LO22:00[月~金]ランチ:11:30〜14:00LO13:45[土・日・祝]ディナー:17:00〜23:00LO22:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100000697983/
6,焼肉ぽんが目黒店(ポンガ),03-3779-1233,東京都品川区上大崎２-１７-５デルタンビル１,毎年1月1日,カフェ,68席,[月~金・土・祝・祝前]17:00〜24:00LO23:00[日]17:00〜24:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100000052555/
7,やきとり阿部(やきとりあべ),03-5422-9834,東京都品川区上大崎３-３MIYUKIHOUSE１F,毎週日曜日日曜日と連続する祝日もお休み。,カフェ,19席,[月~金・土・祝]18:00〜24:00LO23:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100001289620/
8,食楽太太太(しょくらくたたた),03-6721-9432,東京都品川区上大崎２-１５-２目黒ビジネスマンションB１F,毎月第1月曜日毎月第3月曜日毎週日曜日,カフェ,24席（テーブル16席）,[月~金・祝]18:00〜01:00[土]17:00〜24:30※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100001247375/
9,料理屋壱(ICHI),03-5422-9558,東京都港区白金台３-１８-１ジャスティー白金台１F,毎週日曜日,カフェ,20席,[月~金・土]ディナー:17:30〜23:30LO22:30[火~木]ランチ:11:30〜14:00LO14:00[祝・祝前]ディナー:17:30〜22:30LO22:30※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100000801021/
10,つきはし(つきはし),050-5461-5730,東京都目黒区目黒１-５-１７目黒パルテノンビル４F,毎週日曜日祝日,カフェ,25席,[月~金]ディナー:18:00〜23:00LO22:00[火~金]ランチ:11:30〜14:30LO13:50[土]ディナー:18:00〜22:30LO21:30※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100000856981/
11,焼肉稲田(いなだ),03-5447-2914,東京都品川区上大崎２-１３-４５トラストリンク第Ⅲビル２F,無休(年末年始のみ休業),カフェ,50席（最大18名様の個室有り）,[月~金・土]17:00〜24:00LO23:30[日・祝]16:00〜23:00LO22:30※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100000001604/
12,鳥焼笹や(とりやきささや),03-5719-7627,東京都目黒区目黒１-２４-６,毎週日曜日祝日の月曜は休み,カフェ,25席,[月~金]17:30〜24:00LO23:00[土・祝]17:30〜23:00LO22:30※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100000004131/
13,和酒バルKIRAZ(キラズ),03-3712-7277,東京都目黒区三田２-９-５１F,不定休毎週月曜日詳しくは公式FBにて確認月に一度は連休,カフェ,14席（テーブル席(18席)カウンターへのアレンジも可能）,[火~金・土・祝前]18:00〜24:00[日・祝]18:00〜22:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100000016397/
14,とり彦(とりひこ),03-3448-9625,東京都品川区上大崎２-１５-２目黒ビジネスマンションB１F,毎週日曜日,カフェ,15席,[月~金・土・祝・祝前]ディナー:18:00〜23:30LO22:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100000103631/
15,TrattoriadalBirbanteGiocondo(トラットリアダル・ビルバンテ・ジョコンド),03-6721-9500,東京都港区白金台３-１８-１,毎週日曜日,カフェ,46席（オープンテラスあり）,[月~金・土]18:00〜22:00[火~金・土]12:00〜14:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE14/SUB1404/100000752198/
16,焼肉うしみつ一門目黒店(やきにくうしみついちもんめぐろてん),03-5487-1029,東京都目黒区下目黒１-３-２８サンウッド目黒１F,毎週日曜日,カフェ,48席,[月~金・土・祝]17:00〜24:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100001346116/
17,アンティカブラチェリアベッリターリア(AnticaBraceriaBell'italia),03-6412-8251,東京都目黒区下目黒３-４-３１F,不定休毎週日曜日金・土ディナーの営業終了時間は未定です。,カフェ,18席,[月~金]ランチ:11:30〜15:00LO14:00[月]ディナー:18:00〜23:00LO21:00[火~木]ディナー:18:00〜23:00LO21:30[金・土]ディナー:18:00〜24:00LO00:30※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100000775115/
18,セラフェCellarFête(せらふぇ),03-6420-0270,東京都目黒区下目黒１-３-４ベルグリーン目黒B１F,毎月第1火曜日毎月第3火曜日毎週月曜日,カフェ,28席,[火~金・土・日・祝]18:00〜23:30LO22:30[日]11:30〜18:00LO17:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100001418594/
19,牛鍋アイロン(ぎゅうなべあいろん),03-5420-4551,東京都港区白金台５-１５-１０２F,毎週月曜日祝日の場合は営業し翌日休み自動音声対応,カフェ,42席,[火~金・土・日・祝]ディナー:17:00〜21:00LO20:30※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE14/SUB1404/100000708874/
20,小林食堂(kobayashisyokudouこばやししょくどう),050-5461-8248,東京都品川区東五反田５-２１-６池田山コープ１階,毎月第1月曜日毎週日曜日祝日年末年始（要確認）,カフェ,32席,[月~金・土・祝前]ランチ:11:30〜15:00LO14:00ディナー:17:00〜22:30LO21:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB1303/100000052279/
21,キッチンセロ(kitchencero),03-5791-5715,東京都品川区上大崎２-１３-４４大庭ビル１F,毎週日曜日・年末年始（要確認）,カフェ,24席（4~5名テーブル×2）,[月~金・土]17:00〜01:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100000011315/
22,MARCELO'S(マルセロズ),03-6417-9888,東京都目黒区下目黒１-５-１６本田ビル２F,毎週日曜日祝日,カフェ,22席,[月~金]ディナー:18:00〜23:00[土]ディナー:18:00〜22:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100000036254/
23,バルマルシェ・コダマステーキ&ロブスターアトレ目黒店(BarMarcheKodama),03-5435-4105,東京都品川区上大崎３-１-１アトレ目黒２２F,不定休・定休日はアトレに準ずる※肉料理のみ21：00ラストオーダーです。※ご予約はディナーのみ承ります。,カフェ,82席,[全日]モーニング:08:30〜10:30LO10:00ランチ:11:00〜16:00LO15:00ディナー:17:00〜21:30LO21:30※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100001380001/
24,NewAmericanGrillKANADETERRACEホテル雅叙園東京(ニューアメリカングリルカナデテラス),050-5304-6599,東京都目黒区下目黒１-８-１ホテル雅叙園東京内１F,無休ホテル雅叙園東京では、このたびの緊急事態宣言を受け、新型コロナウイルス感染症に対するさらなる予防措置を講じるため、【2020年4月8日（水）〜5月6日（水）】までの間、全館休業させていただきます。また、ホテルと目黒駅および品川駅間を往復する無料シャトルバスにつきましても、同期間、運休させていただきます。お客様には大変ご不便をおかけいたしますが、ご理解、ご協力を賜りますようお願い申し上げます。,カフェ,144席（132席＋カウンター12席）,[全日]ランチ:11:30〜14:30LO14:30ディナー:17:30〜20:00LO19:00詳しくは公式HPにて確認ホテル雅叙園東京では、お客様の安全と健康を最優先に考慮し、新型コロナウイルスの感染予防対策として、各レストランの営業時間を変更させていただきます。NewAmericanGrill“KANADETERRACE”ランチ11:30-14:30／ティー14:30-17:30／ディナー17:30-20:00（L.O.19:00）※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100001358195/
25,花見鮨(はなみすし),03-3442-8730,東京都品川区上大崎２-１６-２,毎週日曜日祝日,カフェ,32席（用途に応じて２〜１６名様までご利用可能です。）,"[月~金・土]ディナー:17:00〜23:30[火~金]ランチ:12:00〜13:30ランチタイムはカード使用不可出前、お持ち帰りはカード使用不可ディナータイムのカードのご利用は5,000円以上から承ります。※2021年1月～緊急事態宣言に伴い、短縮営業させて頂いております。営業：月曜～土曜16:00～20:00※2021年4月現在※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。",https://retty.me/area/PRE13/ARE13/SUB704/100000427395/
26,RINASCIMENTO(リナシメント),03-6420-3623,東京都目黒区下目黒２-２３-２１F,毎週日曜日月曜日のランチ,カフェ,20席,[月~金・土]18:00〜23:00LO21:30[火~金・土]ランチ:12:00〜13:30LO13:30※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100001304465/
27,すし処佐藤(すしどころさとう),03-5721-0244,東京都目黒区下目黒３-５-１梶浦ビル２F,毎週月曜日,カフェ,12席,[火~金・土・日・祝]18:00〜23:00LO22:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100000073971/
